Balancing Technique,Model Name,Accuracy,Precision,Recall,AUC_ROCcurve
ADASYN(whole_data),RandomForestClassifier(),0.8507269789983845,0.8397965670692944,0.8628347485303723,0.8508547144186388
ADASYN(whole_data),BernoulliNB(),0.7602584814216479,0.7363690832834032,0.8027433050293925,0.7607066908778677
UnderSampling(train_data),LogisticRegression(),0.7413383958234456,0.5034246575342466,0.8003629764065335,0.7603999972006961
UnderSampling(train_data),SVC(),0.7413383958234456,0.5033860045146726,0.809437386569873,0.7633305184777386
UnderSampling(train_data),DecisionTreeClassifier(),0.6715709539629805,0.4190585533869116,0.662431941923775,0.6686195699336097
UnderSampling(train_data),RandomForestClassifier(),0.7214048410061699,0.4791183294663573,0.7495462794918331,0.7304929340903895
UnderSampling(train_data),BernoulliNB(),0.7199810156620788,0.4790096878363832,0.8076225045372051,0.7482842599806847
UnderSampling(whole_data),LogisticRegression(),0.7614349775784753,0.7286689419795221,0.799625468164794,0.7629796876107963
UnderSampling(whole_data),SVC(),0.747085201793722,0.7210526315789474,0.7696629213483146,0.7479984142025566
UnderSampling(whole_data),DecisionTreeClassifier(),0.6914798206278027,0.6678445229681979,0.7078651685393258,0.6921425670579591
UnderSampling(whole_data),RandomForestClassifier(),0.737219730941704,0.7102966841186736,0.7621722846441947,0.7382289994649545
UnderSampling(whole_data),BernoulliNB(),0.7497757847533633,0.7107438016528925,0.8052434456928839,0.7520193132078877
Class weightining(Algorithmic Method),"LogisticRegression(class_weight='balanced', random_state=42)",0.7508305647840532,0.5150812064965197,0.8058076225045372,0.7685850451854306
Class weightining(Algorithmic Method),"SVC(class_weight='balanced', random_state=42)",0.7503559563360228,0.514585764294049,0.8003629764065335,0.7665053956582797
Class weightining(Algorithmic Method),"DecisionTreeClassifier(class_weight='balanced', random_state=42)",0.7342192691029901,0.4912959381044487,0.46098003629764067,0.645978450025427
Class weightining(Algorithmic Method),"RandomForestClassifier(class_weight='balanced', random_state=42)",0.7769340294257238,0.5944055944055944,0.4627949183303085,0.6754848627641259
Class weightining(Algorithmic Method),BernoulliNB(),0.7233032747982914,0.48257080610021785,0.8039927404718693,0.7493614087963459
GAN(whole_data),LogisticRegression(),0.807125890736342,0.6475770925110133,0.5444444444444444,0.7211040113596023
GAN(whole_data),SVC(),0.7852731591448932,0.6271676300578035,0.40185185185185185,0.6597118684179387
GAN(whole_data),DecisionTreeClassifier(),0.7363420427553444,0.4865350089766607,0.5018518518518519,0.6595521240089931
GAN(whole_data),RandomForestClassifier(),0.7767220902612827,0.5853658536585366,0.4444444444444444,0.6679091231806886
GAN(whole_data),BernoulliNB(),0.7458432304038005,0.5030599755201959,0.7611111111111111,0.7508430954916577
GAN(train_data),LogisticRegression(),0.7384907451352634,0.0,0.0,0.5
GAN(train_data),SVC(),0.7551020408163265,0.6190476190476191,0.16515426497277677,0.5645822738745632
GAN(train_data),DecisionTreeClassifier(),0.7384907451352634,0.0,0.0,0.5
GAN(train_data),RandomForestClassifier(),0.7384907451352634,0.0,0.0,0.5
GAN(train_data),BernoulliNB(),0.7384907451352634,0.0,0.0,0.5
